Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description
2,Leonardo da Vinci,"was a great Italian painter, sculptor and architect","got universal fame form his masterpiece ""Monalisa""","drew models of organs such as the heart, lungs and womb",All of the above,D,-
2,Moradabad (Uttar Pradesh) is famous for,brass ware,sandal oil,newsprint factory,penicillin factory,A,-
1,Mahabaleshwar is located in,Maharashtra,Rajasthan,Madhya Pradesh,Himachal Pradesh,A,-
3,Jharkhand has ____ state on its eastern end.,Bihar,West Bengal,Orissa,Chhattisgarh,B,-
1,Marco Polo,discovered Greenland,"travelled through China, India and other parts of Asia",travelled round the cape of Good Hope,discovered Canada,B,-
2,"Of the blood groups A, B, AB and O, which one is transfused into a person whose blood group is A?",Group A only,Group B only,Group A and O,Group AB only,C,-
2,Mishra Dhatu Nigam Limited (MIDHANI) was established in,1958,1964,1973,1988,C,-
1,Numismatics is the study of,coins,numbers,stamps,space,A,-
1,National Anthem was first sung on,"December 27, 1911 during the Indian National Congress Session at Calcutta","January 24, 1950 by the Constituent Assembly of India","January 26, 1959 by the Government of India",None of the above,A,-
2,Karl Marx's ideology advocated,a classed unique society,a united society,a classed society,None of the above,C,-
2,Lhasa airport at Tibet is the World's,largest airport,highest airport,lowest airport,busiest airport,B,-
3,"Of the various agencies related to the United Nations, the one that has the longest period is",International Labour Organisation,Universal Postal Union,World Health Organisation,World Meteorological Organisation,B,-
3,Judicature (High Court) of Rajasthan is at,Jodhpur,Jaipur,Udaipur,Jaiselmer,A,-
3,"Kolleru Pelicanary situated at Elluru, Andhra Pradesh has reserves of","elephant, tiger, panther, sambar","pelicans, painted stroke","chital, sambar, chinkara, wild birds","elephant, leopard, tiger, garu, nilgai",B,-
3,Light Year is related to,energy,speed,distance,intensity,C,-
2,Liquid asset is,a type of asset that is in cash in the current account of the commercial bank,a type of asset that is in the form of a deposit in the current account of the commercial bank,either of these,None of the above,C,-
1,Jeevan Rekha (Life line) express is,first hospital on wheels in the world,first railway express,oldest train,None of the above,A,-
2,Lata Mangeshkar holds the world record for maximum number of ____,song recordings,singing songs,songs composing,None of the above,A,-
2,"On August 1, 2003, the total strength of India's armed forces approximate to","13,92,000","10,92,000",71500,"1,32,000",A,-
1,John F. Kennedy was,one the most popular Presidents of USA,the first Roman Catholic President,writer of Why England slept and Profile in Courage,All the above,D,-
3,Jesus Christ was crucified in,4 BC,4 AD,20 AD,1 AD,C,-
2,National institute of Mental Health is located at,Coonor (Tamil Nadu),Chandigarh,New Delhi,Bangalore,D,-
2,Jharia (Jharkhand) is famous for,sports goods,copper mines,coal mines,gold mines,C,-
3,Nalanda is located at,Gujarat,"Varanasi, Uttar Pradesh","Near Patna, Bihar","Near Bhopal, Madhya Pradesh",C,-
3,National Botanical Research Institute is located at,New Delhi,Lucknow (Uttar Pradesh),Chennai (Tamil Nadu),Bangalore (Karnataka),B,-
1,Mother Teresa received the Magsaysay Award in 1962 in the area of,Community leadership,public service,journalism and literature,international understanding,D,-
3,"Of the various non-conventional energy sources that are being tapped, which has the largest potential?",Water power,Wind power,Solar power,Biomass power,C,-
3,Missile 'prithivi' aims,to test the performance of an indigenously built heat-shield,to hit  target without the help of the Air Forces,to defend a large installations like oil-fields etc. against enemy attacks,None of the above,B,-
1,Microphone is used to convert,sound waves into electrical energy,sound waves into light rays,electrical energy into sound waves,sound waves into magnetic currents,A,-
3,Ms. Medha Patkar is associated with the,Tehri project,Enron project,Sardar Sarovar project,Dabhol project,C,-
1,"Kathakali, Mohiniatam and Ottamthullal are the famous dances of",Kerala,Karnataka,Orissa,Tamil Nadu,A,-
2,Jaspal Rana is associated with which of the following games?,Swimming,Archery,Shooting,Weightlifting,C,-
3,Lala Lajpat Rai is also known as,Sher-e-Punjab,Punjab Kesari,both (a) and (b),None of the above,C,-
1,Modern football is said to have evolved from,England,India,France,Spain,A,-
1,Nowadays many novel chemicals are being synthesized termed as xenobiotics. The unique feature of these is what they are biodegradablenon- biodegradablepose on environmental threatthey are environment friendly,"I, III","II, III","I, III, IV","II, III, IV",B,-
2,Squadron leader Rakesh Sharma was India's first man to go into space. He was ____ cosmonaut to be in space in the world.,12th,107th,139th,151st,C,-
2,Philology is the,study of bones,study of muscles,study of architecture,science of languages,D,-
1,The 2006 World Cup Football Tournament held in,France,China,Germany,Brazil,C," The 2006 FIFA World Cup was the 18th FIFA World Cup, the quadrennial international football world championship tournament. It was held from 9 June to 9 July 2006 in Germany, which won the right to host the event in July 2000. "
2,Satellite launching station is located at,Sriharikotta (Andhra Pradesh),Solapur (Maharashtra),Salem (Tamilnadu),Warangal (Andhra Pradesh),A,-
2,The 'Black flag' signifies,revolution/danger,peace,protest,truce,C,-
3,Republican party is,One of the important parties in USA,the political parties which has no definite principles,the political party which changes with the change in the times and circumstances in the country,All of the above,D,-
2,Study of life in outer space is known as,endbiology,exobiology,enterbiology,neobiology,B,-
2,School of Aviation Medicine (Air Force) is located at,Allahabad,Hyderabad,Bangalore,Jalahalli,C,-
3,Recession is,slowing down of economic activity over a limited period,"period during which unemployment may rise and demand and output may fall, leading to slump in trade","period that results from accumulation of unsold goods, owing to fall in demand",All of the above,D,-
2,Sir Thomas Fearnley Cup is awarded to,a club or a local sport association for remarkable achievements,"amateur athlete, not necessarily an Olympian",National Olympic Committee for outstanding work,None of the above,A,-
1,Pythagoras was first to ____ the universal validity of geometrical theorem.,give,prove,both,None of the above,B,-
1,Soil acidity is generally corrected by,proper irrigation,adding sodium hydroxide,liming,application of fertilizers,C,-
1,Oscar Awards were instituted in,1968,1929,1901,1965,B,-
1,Small amounts of iodine are necessary in our diet to,prevent pellagra,compensate for underactive the thyroid gland,stimulate clotting of blood,stimulate pituitary gland,B,-
2,Queensland and Northern Territory Aerial Service is an International Airline of,Afghanistan,Belgium,East Africa,Australia,D,-
1,Shaurya Chakra made up of bronze is awarded for,gallantry otherwise than in the face of the enemy,most conspicuous bravery for some act of self sacrifice,gallantry in the presence of enemy,None of the above,A,-
1,Sushri Lata Dinanath Mangeshkar received Bharath Ratna in,2000,2001,2002,2003,B,-
2,Taoism is followed in,worldwide,Iran and north-west India,"China, Taiwan, Nauru, Brunei, Singapore and Vietnam",Japan,C,-
3,The 2005 Wimbledon Women's Singles champion defeated which of the following to win the title?,Maria Sharapova,Lindsay Davenport,Mary Pierce,Serena Williams,B,-
2,Sheikh Mujibur Rahman is a well known freedom fighter of,Bangladesh,Myanmar,Pakistan,Afghanistan,A,-
1,Shares with a fixed rate of dividend that entitle their holders to priority payment over those who hold ordinary shares of a company are called,preference shares,bull,bear,shareholder,A,-
2,Shankracharya was the founder of,Buddhism,Jainism,Arya Samaj,Advaitic philosophy,D,-
3,Sculpture flourished during,Egyptian civilization,Indus valley civilization,Chinese civilization,None of the above,B,-
1,Penicillin is widely used as,an antiseptic,a disinfectant,an antibiotic,an insecticide,C,-
3,"Socrates was the wisest man of the ancient world and developed the method of enquiry and instruction, belonged to",France,Athens,Greece,China,B,-
2,Richter scale is used for measuring,density of liquid,intensity of earthquakes,velocity of wind,humidity of air,B,-
3,Prince Charles and Princess Diana of Britain announce their separation in,1990,1991,1996,1997,C,-
2,Paleontology is a branch of science that deals with the,behavior of animals,origin and growth of plants,the forms of life as revealed by fossils of animals or plants,formation of new stars,C,-
1,Sir Humphry Davy was a British chemist who,invented the safety lamp for miners,discovered the anesthetic properties of nitrous oxide,both (a) and (b),None of the above,C,-
3,"Sonia Nazario of ""Los Angeles Times"" was awarded Pulitzer Prize in 2003 for",commentary,editorial writing,music,feature writing,D,-
2,Soil is formed from the parent rock material by,chemical decomposition,physical decomposition,biological decomposition,All of the above,D,-
2,The air we inhale is mixture of gases. Which of the following gases in the mixture is highest in percentage?,Carbon dioxide,Nitrogen,Oxygen,Ozone,B,-
1,Oxford university was founded in,1139 AD,1163 AD,215 BC,55 BC,B,-
1,The American General who led the revolt against the British and declared American independence was,George Washington,Bill Clinton,George Bush,None of the above,A,-
3,Regular meetings of Trusteeship Council (UNO) are held,once a year,twice a year,thrice a year,four times a year,B,-
2,Radioactive substances can be produced readily in,an electron gun,an atomic pile,a transistor,a Wilson cloud chamber,B,-
2,The 2002 Commonwealth Games were held in,Canada,UK,Australia,Malaysia,B,-
3,Profit made when an asset is sold more than the price at which it was bought is called,capital,capital-gain,capitalism,None of the above,B,-
1,Plorence(Chadwick) is the associated place for which of the following sport?,Snooker,Racking Horse,Skiing,Tennis,C,-
3,The 2012 Olympics Games were held in,London,Seoul,Sydney,Tokyo,A,-
2,"Rajiv Gandhi, Prime Minister of India, was assassinated in",1961,1971,1981,1991,D,-
1,"Pan - American Highway, north-west Alaska to Southernmost Chile is the worlds",longest road,highest road,busiest road,None of the above,A,-
1,Raja Rammohan Roy,"was a social reformer who tried to eradicate sati, purdah and child marriage",advocated widow remarriage and woman's education,was the founder of the Brahmo Samaj,All of the above,D,-
1,South Indian temples have,tall towers with curving sides that taper at the top,gateway towers shaped like trapezoidal pyramids,both are correct,None of the above,B,-
2,South Africa joined the Commonwealth as 51st member in,May 1993,May 1994,May 1995,May 1996,B,-
2,Recently lead free petrol was introduced in our country because,they are not needed now as anti-knock agents,they tower the efficiency of the engine,they cause less pollution,to reduce the cost of petrol,C,-
1,Rabindranath Tagore receive Nobel Prize in 1913 in the field of,physics,peace,literature,economy,C,-
2,People who secretly indulge in anti-national or anti-government activities and help the enemy are called,Second column,Third column,Fourth column,Fifth column,D,-
2,Sulphur is not present in,iron pyrites,gypsum,coal,chlorapatite,D,-
2,Oxygen was independently discovered by,Rutherford,William Ramsay,Joseph Priestley,Neils Bohr,C," Oxygen was independently discovered by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first. "
1,Rise of the Chinese civilization along the banks of Hawang 40 took place in,2500 - 2000 BC,2700 - 2600 BC,2205 - 1122 BC,2000 - 1200 BC,C,-
1,"Presently known as the European Union, the EEC was established in",1957,1958,1959,1960,B,-
2,Steel is more elastic than Rubber because,its density is high,it is a metal,ratio of stress to strain is more,ratio of stress to strain is less,C,-
1,"The 2003 Right Livelihood Honorary Award honors ____, when the jury recognizes ""for his steadfast work over many years for a world free of nuclear weapons"".",New Zealand's former Prime Minister David Lange,Martin Almada (Australia),Martin Green (Australia),None of the above,A,-
1,Tansen was,a great exponent of Indian classical music,one of the nine gems in the court of Akbar,both (a) and (b),None of the above,C,-
1,Ornithology is the,study of bones,study of birds,study of smells,None of the above,B,-
1,Rabindranath Tagore is also known as,Guruji,Gurudev,Mahamana,Netaji,B,-
1,Raj Kapoor received Dada Saheb Phalke Award in,1986,1987,1988,1989,B,-
3,Oscar Awards are conferred annually by,"Academy of Motion Pictures, arts and sciences, USA",Government of United States,Hollywood Foreign Press Association,None of the above,A,-
3,Robert Koch worked on,tuberculosis,cholera,malaria,diabetes,A,-
3,"Satyajit Ray received Magsaysay Award for journalism, literature and creative communication arts in",1963,1965,1966,1967,D,-
3,"The agreement according to which the UK, the USA and the former USSR cannot assist other countries in acquiring technology to develop nuclear weapons, is known as",Izmir Treaty,Nuclear Non-proliferation Treaty (NPT),both (a) and  (b),None of the above,B,-
3,The 'Red Triangle' symbol denotes,Air India,family planning,culture and civilization,None of the above,B,-
1,"P.T. Usha, who came close to bagging a bronze finished fourth in  ____ in 1984 Olympics.",400 m final,800 m final,400 m hurdle,the marathon,C,-
3,Photophobia is,a disease cause by too much sunlight,abnormal intolerance of light,the adjustment of the eye for light,the ability to perceive light,B,-
1,Pressure cooker cooks rice faster because,it always lets the steam escape,high pressure crushes the hard covering of rice grains,it does not let the heat energy escape easily,high pressure raises the boiling point of water,D,-
2,The ancient Olympics Games came to a sudden end when the Roman Emperor Theodosius banned them as paper manifestations. The modern Olympic Games were received after a lapse of nearly,ten centuries,twelve centuries,fifteen centuries,eighteen centuries,C,-
1,Reproductive cells in human beings are produced,in greater numbers for a longer period of time in the male,for a longer period in the female than in male,in equal number in both sexes,in greater numbers by the female than by the male,A,-
1,Study of earthquakes is known as,ecology,seismology,numismatics,None of the above,B,-
3,"The 2005 Australian Open Tennis Championship titles for men's and women's singles were won, respectively by",Pete Sampras and Steffi Graf,Rafael Nadal and Venus Williams,Andre Agassi and Arantxa Sanchez-Vicario,Marat Safin and Serena Williams,D,-
2,Penicillin was invented by,Dr Jonas E. Salk,Gregory Mendal,Paul Ehrlich,A. Fleming,D,-
2,Super conductivity is a phenomenon in which the resistance of a substance,increases with temperature,decreases with temperature,does not change with temperature,becomes zero at very low temperature,D,-
1,"The Africa fund (Action for Resisting Invasion, Colonialism and Apartheid) under India's leadership was instituted by",UNO,SAARC,NAM,the Commonwealth,C,-
1,Rohinton Baria Trophy is associated with,football,hockey,cricket 'Inter-University',inter-university sports and athletics,C,-
3,Rangaswamy Cup is associated with,archery,cricket,football,hockey,D,-
3,Rare Earth factory is situated in,Allepey (Kerala),Aluva (Kerala),Ambernath (Maharashtra),Avadi (Tamil Nadu),B,-
3,"Pakistan left the Commonwealth in 1972, but rejoined as 49th member of the Commonwealth in",1984,1991,1997,2000,B,-
2,Primary rainbow is formed when light suffers,two internal refractions before emerging out of the drop,one internal refractions before emerging out of the drop,no internal refraction,either one or two internal refractions before emerging out of the drop,B,-
1,Rana Pratap Sagar (Rajasthan) is famous for,nuclear power station,aluminum industry,brassware,sports goods,A,-
1,Study of life in outer space is known as,endbiology,exobiology,enterbiology,neobiology,B,-
2,School of Aviation Medicine (Air Force) is located at,Allahabad,Hyderabad,Bangalore,Jalahalli,C,-
2,Recession is,slowing down of economic activity over a limited period,"period during which unemployment may rise and demand and output may fall, leading to slump in trade","period that results from accumulation of unsold goods, owing to fall in demand",All of the above,D,-
1,Sir Thomas Fearnley Cup is awarded to,a club or a local sport association for remarkable achievements,"amateur athlete, not necessarily an Olympian",National Olympic Committee for outstanding work,None of the above,A,-
1,Pythagoras was first to ____ the universal validity of geometrical theorem.,give,prove,both,None of the above,B,-
2,Soil acidity is generally corrected by,proper irrigation,adding sodium hydroxide,liming,application of fertilizers,C,-
1,The chief constituent of gobar gas is,ethane,methane,hydrogen,carbon dioxide,B,-
1,The countries that had maintained research stations in Antarctica under Antarctic Trade are,"Argentina, Australia, Belgium and South Africa","Chili, France and Japan","New Zealand, Norway, the former USSR, the UK and the USA",All of the above,D,-
3,The first development flight of SLV-3 took place on,"May 31, 1981","April 17, 1983","December 21, 1999","December 28, 1995",A,-
2,The Enron project is a,hydro-electric project,thermal power project,atomic power project,gas-fired power project,D,-
1,The chief purpose of crop rotation is to check the loss of top soil,by water erosion,by wind erosion,by weathering,of its mineral content,D,-
1,World's busiest airports by passenger traffic is,"Hartsfield-Jackson Atlanta International Airport, USA","Lhasa Airport, Tibet","King Abdul Aziz International Airport, Saudi Arabia","Chicago O' Hare International Airport, USA",A,-
3,The first meeting of the UN General Assembly was held in which of the following cities?,London,New York,San Francisco,Teheran,A,-
3,The first rice straw power plant has been set up at,Kolkata,"Jalkheri, Punjab","Trombay, Maharashtra",None of the above,B,-
3,The founder member of EFTA are,"Austria, Denmark, Norway","Portugal, Sweden, Switzerland","UK, Austria, Sweden",All of the above,D,-
1,The first historical mention of the holding of the ancient Olympic Games occurred about,2000 years ago,2250 years ago,2500 years ago,2775 years ago,D,-
3,The first Afro-Asian Games were held in,Hyderabad,Sydney,Cairo,Kuala Lumpur,A," The first Afro-Asian Games were held between October 24, 2003 and November 1, 2003 in Hyderabad, India. "
3,The first meeting of the SAARC was opened in,"Dhaka, Bangladesh","Bangalore, India","Kathmandu, Nepal","Islamabad, Pakistan",A,-
1,The General Assembly meets regularly,once a month,after every three months,twice a year,once year,D,-
2,The fighter force of Air Force is comprised of,MIG-21 variant,"MIG-23s, MIG-25s, MIG-27s, MIG-29s",Jaguars,All of the above,D,-
2,The Central Command of Army is located at,Pune,Udhampur,Lucknow,Mhow,C,-
1,The credit of inventing the television goes to,Faraday,Baird,Edison,Marconi,B,-
3,"The first man-made satellite, Sputnik I was launched by the former USSR in",1957,1955,1967,1970,A,-
1,The General Assembly meets every year in regular sessions which begin on,first Monday in March every year,fourth Monday in September every year,third Tuesday in September every year,Second Tuesday in March every year,C,-
3,The chief of the Army staff is assisted by,Vice-chief of the Army Staff,"Principal staff officers such as Deputy Chief, Adjutant General, Military Secretary",both (a) and (b),None of the above,C,-
2,The dance performed by women to invoke rain in Bihar is,Jata Jatin,Faguna or Fog,Purbi,Bihu,A,-
2,The department of Atomic Energy was established in,1948,1954,1963,1971,B,-
3,The exhaled air contains,carbon dioxide only,a mixture which has more carbon dioxide than oxygen,"a mixture of carbon dioxide, nitrogen and oxygen in which nitrogen has the highest percentage",a mixture of carbon dioxide and nitrogen,C,-
2,Wright Brothers are regarded inventors of the,Balloon,Bicycle,Aeroplane,None of the above,C,-
3,World War II was fought between,"Axis Power (Germany, Italy and Japan) against the Allies (Britain, USSR, USA, France)","Austria, Hungary, Turkey against France, USA, Japan",both (a) and (b),None of the above,A,-
1,The basic cause of World War II was,an unjust Treaty of Versailles,rise of the Nazi Party in Germany,Japan's policy of expansion and imperialism of England and France,All of the above,D,-
2,"The country, which was admitted to the membership of the United Nations in September 2002, is",Macedonia,East Timor,Andorra,Eritrea,B,-
2,The committee of the Norwegian Parliament awards the prize for,economics,peace,medicine,literature,B,-
1,The date of operation of first open heart surgery in India was,"July 6, 1959","August 12, 1991","June 20, 1990","January 11, 1985",A,-
3,The first Indian to be awarded the Oscar for lifetime achievements in Cinema in 1992 was,Satyajit Ray,Bhanu Athaiya,Dilip Kumar,Amitabh Bachchan,A,-
3,The element of an electric stove made,copper,invar,magnalium,nicrome,D,-
1,The blood pressure of a young male human being is,110/70,120/80,135/90,140/100,B,-
1,The first Winter Olympic Games were held at,Innsburck (Austria),Lake Placid (USA),Chamonix (France),Calgary (Alberta),C,-
1,The college of Military Engineering is situated at,Kirkee (Pune),Mhow,Dehradun,Chennai,A,-
1,The electron was first identified by,J. J. Thompson,J. Kepler,D. Rutherford,James Chadwick,A,-
1,The conservation hawks and owls is important to mankind chiefly because these birds eat,numerous weed seeds,harmful birds,many harmful rodents,harmful reptiles,C,-
1,The best way to tackle local environmental problems is to,use the local administrative machinery,implement environmental laws strictly,provide environmental education to the local people and create awareness,leave it to the local public to decide,C,-
2,The first attempt in printing was made in England by,James Arkwright,James Watt,William Caxton,Isaac Newton,C,-
2,The first foreigner to receive Bharat Ratna was,Khan Abdul Ghaffar Khan,Nelson Mandela,C.V. Raman,None of the above,A,-
2,The first General Elections in India took place in,1948,1950,1952,1954,C,-
1,"The corresponding Gregorian date of the saka month, Bhadra is",July 23,August 23,September 23,October 23,B,-
1,The branch of science that studies cells is called,cytology,entomology,homoplasty,hormonology,A,-
2,The country's first indigenously built missile boat was,INS Vibhuti,INS Vipul,INS Savitri,INS Shakti,A,-
2,The first launch of the missile 'Trishul' was made in,"February, 1988","May, 1989","June, 1990","September, 1995",D,-
1,The corps of Military Police central school is situated at,Bangalore,West Bengal,Trimulgherry,Secunderabad,A,-
3,"The first permanent Indian oceanographic station, 'Dakshin Gangotry' during Antarctic Expedition, was set up in",April/March 1984,Dec. 1982/Jan 1983,Nov. 1985/Feb 1986,Dec. 1988/March 1989,A,-
3,The energy of food is measured in,Kelvin,calories,bushel,None of the above,B,-
2,The chief of Air Staff is assisted by,Vice-chief of the Air Staff,Deputy-chief of the Air Staff,Air Officer Incharge Administration,All of the above,D,-
2,The first batch of women pilots was commissioned on,"August 30, 1992","December 17, 1994","January 11, 1987",None of the above,B,-
3,The five permanent members of the Security Council are,"China, France, Russia, UK, USA","China, UK, Belgium, France, USA","India, UK, USA, China, Germany",None of the above,A,-
1,The frequency of which of the following is the highest?,Gamma rays,Light waves,Micro waves,Radio waves,A,-
2,The first Olympics in the city of Olympia in Greece took place in,1000 BC,850 BC,776 BC,753 BC,C,-
2,The clear sky looks blue because,reflection of light,refraction of light,diffraction of light,dispersion of light,D,-
3,The common terms used in shooting are,"hunting, show-jump, dressage","bed, ballsege, marksmanship, plug","bou, bucket, low, feather, paddle, regatta",None of the above,B,-
3,The buoyancy depends on,the shape of the body,the mass of the body,the mass of the liquid displaced,the depth to which the body is immersed,C,-
2,The first chairman of the Africa fund committee was,Late Rajiv Gandhi,Late Indira Gandhi,Late Pt. Jawaharlal Nehru,None of the above,A,-
2,The award instituted to honor outstanding agricultural scientists is,Bhatnagar Award,Dadabhai Naoroji Award,Borlaug Award,Arjuna Award,C,-
3,The battle tanks designed and developed by the Defence Research and Development Organization in collaboration with Heavy Vehicles Factory and Bharat Heavy Electricals Limited are,Vijayanta,T-55 and T-72,Arjun,All of the above,C,-
2,"The chief administrative office of the UNO, which co-ordinates and supervises the activities of the UNO, is",the International court of justice,the General Assembly,the secretariat,the Trusteeship council,C,-
3,The first women to climb Mt. Everest was,Junko Taibei,Karoline Mikkelson,Valentina Tereshkova,None of the above,A,-
2,The five intertwined rings or circles on the Olympic Flag made of white silk are,"from right to left blue, yellow, black, green and red respectively","from left to right blue, yellow, black, green and red respectively","from right to left blue, black, green, red and yellow respectively","from left to right yellow, red, green, black and blue respectively",B,-
2,"The company that has acquired interest in different industries by taking over or merging with other companies, is called",collateral,coalition,conglomerate,None of the above,C,-
2,The first Indian and Asian to receive the Noble Prize in Physics was,C.V. Raman,Mother Teresa,Rabindranath Tagore,S. Chandrasekhar,A,-
2,"The first Dada Saheb Phalke Award, given in 1969, was received by",Devika Rani,Pankaj Mullick,Kanan Devi,Sohrab Modi,A,-
3,"The command from a superior officer or a judge to a subordinate right given to a person to act in    the name of another, is",Mandamus,Mandate,Manifesto,Modvat,B,-
3,"The Awards conferred by the Hollywood Foreign press Association which is given annually for creditable efforts in film direction, are",Golden Bear Award,Oscar Award,Owen Global Prize,Golden Globe Award,D,-
3,The first lady Prime Minister of a country was,Srimavo Bhadaranaike (Sri Lanka),Maria Estate Pew (Argentina),Junko Taibei (Japan),None of the above,A,-
3,The common pesticides which are in use consist of,PCBs,organochlorines,olefins,heterocyclic compounds,C,-
1,"The dance in Himachal Pradesh, performed indoor, solo or duet, especially when life comes to a standstill during cold winter is",Luddi dance,Munzra,Giddha parhaun,Rouf,B,-
2,The battle tanks that have been modernized to keep pace with the latest technology development is,Vijayanta,T-55 and T-72,Arjun,All of the above,A,-
1,The first Asian Games were held in 1951 at,"New Delhi, India","Manila, Philippines","Tokyo, Japan","Jakarata, Indonesia",A,-
2,The chemical name of Vitamin B is,nicotinamide,ascorbic acid,riboflavin,thiamine,D,-
1,The first Indian actress to have been nominated to the Rajya Sabha was,Nargis Dutt,Hema Malini,Jaya Prada,None of the above,A,-
2,The first NAM (Non-Aligned Movement) conference was held at,Belgrade (Yugoslavia),Caire (Egypt),Lusaka (Zambia),Algeria (Algeria),A,-
3,The first recipient of Bharat Ratna award in 1954 was,S. Radhakrishnan,C. Rajagopalachari,C.V. Raman,Jawaharlal Nehru,B,-
1,The credit of developing the polio vaccine goes to,Jones Salk,Alb E. Sabin,J.L. Baird,J. Perkins,A,-
1,The first meeting of the UN General Assembly was held in which of the following cities?,London,New York,San Francisco,Teheran,A,-
3,The first rice straw power plant has been set up at,Kolkata,"Jalkheri, Punjab","Trombay, Maharashtra",None of the above,B,-
2,The founder member of EFTA are,"Austria, Denmark, Norway","Portugal, Sweden, Switzerland","UK, Austria, Sweden",All of the above,D,-
3,The first historical mention of the holding of the ancient Olympic Games occurred about,2000 years ago,2250 years ago,2500 years ago,2775 years ago,D,-
1,The first Afro-Asian Games were held in,Hyderabad,Sydney,Cairo,Kuala Lumpur,A," The first Afro-Asian Games were held between October 24, 2003 and November 1, 2003 in Hyderabad, India. "
2,The first meeting of the SAARC was opened in,"Dhaka, Bangladesh","Bangalore, India","Kathmandu, Nepal","Islamabad, Pakistan",A,-
3,The main objectives of the UN are,to maintain peace and security in the world,"to work together to remove poverty, disease and illiteracy and encourage respect for each other's rights of basic freedom.",to develop friendly relations among nations,All of the above,D,-
2,The headquarter of ESCAP Economic and Social Commission for Asia are situated at,Bangkok,Geneva,Santiago (Chile),Baghdad,A,-
2,"The industrial organization of Atomic Minerals Division, Heavy Water Board (HWB) is located at",Mumbai,Kolkata,Hyderabad,"Jadugude, Bihar",A,-
2,The Indian Air Force celebrated its Golden Jubilee in,1962,1972,1982,1992,C," The Indian Air Force was officially established on 8th October 1932, and on 1st April 1954, Air Marshal Subroto Mukherjee, one of the founding members of the Air Force took over as the first Indian Chief of Air Staff. "
3,The headquarter of OAU (Organization of African Unity) are at,"Addis Ababa, Ethiopia",Washington DC,Paris,"Jakarta, Indonesia",A,-
3,The headquarter of International Atomic Energy Agency (IAEA) are situated at,Vienna,Geneva,Rome,Paris,A,-
2,The main crop of Meghalaya is,rice,wheat,barley,sugarcane,A,-
3,The major minerals found in Uttar Pradesh are,limestone and dolomite,rock phosphate and dolomite,copper and graphite,None of the above,A,-
3,The member of SEATO (South-East Asia Treaty Organisation) are,"Australia, France, New Zealand","Philippines, Thailand",UK and USA,All of the above,D,-
2,"The highest national award in India given for exceptional work for advancement of art, literature and science",Bharat Ratna,Padma Awards,Gallantry Awards,None of the above,A,-
1,The main reserves of phosphorus in the biosphere is in the,hydrosphere,atmosphere,lithosphere,troposphere,C,-
1,The Loktak lake facing environmental problems is situated in,Orissa,Assam,Manipur,Kerala,C,-
2,The market condition when goods and services are not freely available and thus the prices are relatively high is called,rights issue,sinking fund,seller's market,recession,C,-
1,The headquarter of 'Assam Rifles' at,Shillong,Kohima,Aizawl,Itanagar,A,-
1,The language spoken in Sikkim are,"Nepali, Hindi, Lepcha, Bhutani",Marathi,"Bengali, Tripuri",Manipuri,A,-
2,The Heads of Government of the countries which are members of the Commonwealth meet,once a year,biennially,at intervals of three years,as and when necessary,B,-
2,The headquarter of the International court of Justice (UNO) are located at,Hague (Netherlands),Addis Ababa,Bangkok,"New York, USA",A,-
3,"The headquarter of all the following international organization are based at Vienna, excepted",United Nations Industrial Development Organization,Organization of Petroleum Exporting Countries,United Nations Development Programme,International Atomic Energy Agency,C,-
3,The headquarter of European Court of Justice (ECJ) are situated at,Luxembourg,Paris,Strasbourg (France),"San Jose, Costa Rica",A,-
1,The host of first Olympics in 1896 was,"Athens, Greece","Paris, France","London, Great Britain","Los Angeles, USA",A,-
2,The largest cantilever bridge of India is,Chambal Bridge,Mahatama Gandhi Setu,Howrah Bridge,None of the above,C,-
3,The headquarter of United Nations Fund for Programmes Population Activities (UNFA) are at,London,New York,Washington,Rome,B,-
1,The Himalayan Mountaineering Institute is located in,Dehradun,Darjeeling,Uttarkashi,Shillong,B,-
1,Deforestation in the uplands may cause pollution in rivers through,leaching of salts,erosion and silting,inflow of forest material,increased discharge rate,B,-
1,The Indian Ocean Arc is an Imaginary circle in space about ____ over the equator,"20,000 km","35,000 km","36,000 km","30,000 km",C,-
3,The main purpose of ASEAN (Association of South-East Asian Nations) is,to accelerate economic progress and maintain economic stability,to maintain higher standards of living among member nations,to provide collective defence and economic cooperation,None of the above,A,-
2,The main object of which of the following UN agency is to help the underdeveloped countries in the task of raising their living standards?,IMF,UNICEF,UNDP,IDA,D,-
2,The headquarter of the Organization of Petroleum Exporting Countries are at,Algiers,Lagos,Kuwait,Vienna,D,-
3,The language spoken in Lakshadweep island is,Malayalam,Marathi,Tamil,Gujarati,A,-
2,The life history of human malaria parasite in Anopheles was first described by,Partrick Manson,Laveran,Ronald Ross,Richard Pfeiffer,C,-
1,The Indian Olympic Council was established in,1936,1988,1924,1900,C,-
1,"The last Hindu king who party succeeded in establishing ""Hindu Swaraj"" was",Chhatrapati Shivaji,"Akbar, the Great",Chandragupta Maurya,Bahadurshah Zafar Khan,A,-
