Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description,
1,The Josephson tunneling device illustrates principles associated with the advanced storage technique:,cryogenics,CCD,EBAM,holographing,A,-,
2,Which of the following statements is true?,The installation of a computer is favorably received by all employees,Some form of training is necessary for employees who will work with computers,Computers are portrayed solely as society's benefactor,A businessperson is only interested in the computer's accuracy,B,-,
2,Communication between computers using standard telephone service,Requires a change to an anolog signal,Is most efficient,Produces little noise and few disturbances,All of the above,A,-,
3,A floppy disk contains,Circular tracks only,Sectors only,Both circular tracks and sector,All of the above,C,-,
1,Where does a computer add and compare data?,Hard disk,Floppy disk,CPU chip,Memory chip,C,-,
2,Which of the following require large computer memory?,Imaging,Graphics,Voice,All of the above,D,-,
3,"Which of the following are used to quickly accept, store, and transfer data and instructions that are being used immediately by the CPU?",microprocessors,registers,ROM chips,data buses,B,-,
3,Which disk interface standard includes support for up to eight peripheral devices?,ST50G/412,IDE,SCSI,ESDI,C,-,
2,"Who designed the first general purpose electronic digital computer ""ENIAC"" ?",Van-Neumann,Joseph M Juoquard,J.  Presper Ecket and John  W Mauchly,All of the above,C," John William Mauchly was an American physicist who, along with J. Presper Eckert, designed ENIAC, the first general purpose electronic digital computer, as well as EDVAC, BINAC and UNIVAC I, the first commercial computer made in the United States. ",
1,"When an input electrical signal A=10100 is applied to a NOT gate, its output signal is",1011,10001,10101,101,A,-,
3,The first practical commercial typewriter was invented in 1867 in the United States by,Christopher Latham Sholes,Carlos Glidden,Samuel Soule,All of the above,D,-,
2,What is meant by quad-density (QD) diskette?,It is double-sided disk,It is double density disk,It  has  double  the  number  of tracks per inch,All of the above,D,-,
1,Large computer system typically uses:,Line printers,Ink-jet printers,Dot-matrix printers,Daisy wheel printers,A,-,
2,First generation computers are characterised by,Vaccum tubes and magnetic drum,Minicomputers,Magnetic tape and transistors,All of the above,A,-,
2,Can you tell what passes into and out from the computer via its ports?,Data,Bytes,Graphics,Pictures,B,-,
3,What is the general name of the device which produces hardcopy graphics?,COM,Plotter,Printer,Microfilm,B,-,
3,"When a disk stack is serviced by a comb-like access mechanism, there is one read/write head for each",disk,disk surface,track,cylinder,B,-,
3,"In which year was UK's premier computing event called ""The Which Computer"" started?",1980,1985,1986,1987,A,-,
1,"In comparison to the internal (main) memory, tape or disk memory is",slower and more expensive,slower and less expensive,faster and more expensive,faster and less expensive,B,-,
1,Which of the following input/output devices is not associated with personal computers?,mice,color monitors,punched cards,dot-matrix printers,C,-,
2,The ALU of a computer responds to the commands coming from,primary memory,control section,external memory,cache memory,B,-,
3,The heart of any computer is the,CPU,Memory,I/O Unit,Disks,A,-,
3,Which of the following are likely to jam the read/write head of a disk pack?,Dust,Smoke particle,Finger print smudge,All of the above,D,-,
3,Impact printers,strike a ribbon against the paper to produce character images,include ink-jet and thermal devices,are more expensive than Laser printers,use optical technology,A,-,
1,Which of the following is not a practical data-processing approach?,batch-sequential,batch-direct,immediate-sequential,immediate-direct,C,-,
1,Bit map terminal,support displays containing multiple windows,requires considerable amount of video RAM,requires tremendous amount of copying and hence low performance,All of the above,D,-,
1,A 32 bit microprocessor has the word length equal to,2 bytes,32 bytes,4 bytes,8 bytes,C,-,
2,The register which holds the address of the location to or from which data are to be transferred is known as,index register,instruction register,memory address register,memory data register,C,-,
2,In simplex transmission,Data format is simple,Data transmission is one way,Data can be transmitted to small distances only,All of the above,B,-,
1,Each model of a computer has a unique,Assembly language,Machine language,High level language,All of the above,B,-,
1,Transistorized computer circuits were introduced in the,first generation,second generation,thir4 generation,fourth generation,B,-,
3,Those microcomputers which have the same operating characteristics as the IBM microcomputers are called IBM,duplicates,clones,copies,look alikes,B,-,
3,Communication ports are found on the back of microcomputers. They are used to connect the computer to _____,printers,modems,other hardware,All of the above,D,-,
2,Which is considered a direct entry input device?,Optical scanner,Mouse,Light pen,All of the above,D,-,
1,"In a computer system, which device is functionally opposite of a Key-board?",Mouse,Trackball,Printer,Joystick,C,-,
1,The first firm to mass-market a microcomputer as a personal computer was,IBM,Sperry Univac,Radio Shack,Data General Corporation,C,-,
3,The data appearing first in the left portion of punched card is,descriptive data,coded data,quantitative data,All of the above,B,-,
3,Which one of the following is termed a combination input-output device?,VDT,Keyboard,Printer,Laser Jet,A,-,
1,The process of writing computer instructions in a programming language is known as,Coding,Processing,Programming,File,A,-,
2,Which of the following is not true of a magnetic disk?,It is expensive relative to magnetic tape,It provides only sequential access to stored data,Users can easily update records by writing over the old data,It does not provide an automatic audit trail,B,-,
3,A regular TV set can be hooked up to a computer so as to received computer signal instead of a television program. This hooking up is achieved with the help of a,modem,adapter,cable,aerial,B,-,
3,An output device that uses words or messages recorded on a magnetic medium to produce audio response is,Magnetic tape,Voice response unit,Voice recognition unit.,Voice band,B,-,
3,A factor which would strongly influence a businessperson to adopt a computer is its:,Accuracy,Reliability,Speed,All of the above,D,-,
2,The most common input device used today is,Motherboard,Track ball,Scanner,Keyboard,D,-,
1,What is the name of the temporary data storage area between a peripheral device and the CPU which compensates for the difference between their speeds?,Backing storage,Buffer,Main storage,Temporary storage,B,-,
2,Which of the following is the fastest?,CPU,magnetic tapes and disks,video terminal,"sensors, mechanical controllers",A,-,
2,In which year were chips used inside the computer for the first time?,1964,1975,1977,1981,B,-,
1,The invention of the slide rule is attributed to,Babbage,Oughtred,Pascal,Napier,B,-,
1,The control unit of a microprocessor,stores data in the memory,accepts    input    data    from    a keyboard,Performs    arithmetic / logic / functions,None of the above,D,-,
1,A flat-bed plotter uses a pen which moves in two directions across a piece of paper fixed on a flat-bed. Can you tell who controls the movements of this pen?,microfilm,microfiche,film card,COM,C,-,
3,The desirable characteristic(s) of a memory system is (are),speed and reliability,low power consumption,durability and compactness,All of the above,D,-,
2,The CPU chip used in a computer is partially made out of:,Copper,Iron,Gold and silver,Silica,D,-,
1,What type of magnetic material is normally used in bubble memories?,Magnetic core,Cobalt,Garnet,Metallic,C,-,
2,A byte is comprised of:,One bit,Four bits,Eight bits,Sixteen bits,C,-,
2,Which of the following printer can be classified as a page-at-a-time printer?,Laser printer,Dot-matrix printer,Thermal printer,Inkjet printer,A,-,
1,"The CPU of a computer transfers print output to a temporary disk memory at high speed and then gets back to processing another job without waiting for the output to got to the printer. In this way, the CPU does not remain idle due to its own high speed as compared to the low speed of the printer. What is the name of this memory?",External memory,I/O memory,ROM,Buffer memory,D,-,
1,Which of the following registers hold the information before it goes to the decoder,control register,data register,accumulator,address register,B,-,
1,A modern electronic computer is a machine that is meant for,doing      quick      mathematical calculations,"input, storage, manipulation and outputting of data",electronic data processing,performing     repetitive     tasks accurately,B,-,
2,Can you tell what passes into and out from the computer via its ports?,Data,Bytes,Graphics,Pictures,B,-,
1,What is the general name of the device which produces hardcopy graphics?,COM,Plotter,Printer,Microfilm,B,-,
2,"When a disk stack is serviced by a comb-like access mechanism, there is one read/write head for each",disk,disk surface,track,cylinder,B,-,
2,"In which year was UK's premier computing event called ""The Which Computer"" started?",1980,1985,1986,1987,A,-,
2,"In comparison to the internal (main) memory, tape or disk memory is",slower and more expensive,slower and less expensive,faster and more expensive,faster and less expensive,B,-,
2,A typical modern computer uses,LSI chips,Vacuum tubes,Valves,All the above,A,-,
3,"ENIAC (Electronic Numerical Integrator and Calculator) had huge advantage over Mark I because it used electronic valves in place of the electromagnetic switches. In the beginning, ENIAC was used for calculating the path of artillery shells. For which other was weapon design was it utilized?",hydrogen bomb,atom bomb,agnimissile,fighter aircraft,A,-,
2,Who was the father of Punched Card Processing?,J Presper Eckert,Charles Babbage,Dr. Herman Hollerith,Blaise Pascal,C,-,
3,When did Hewlett-Packard Inc. Introduce its first HP-110 laptop computer?,1984,1986,1990,1995,A,-,
1,The computer program language which is widely used in computer science and engineering and also in business is,COBOL,FORTRAN,PASCAL,LISP,C,-,
3,A 'number crunching' computer is one that can handle,large spreadsheets,large alphanumeric data,large volume of numbers,only numbers,C,-,
1,"The barcode which is used on all types of items, is read by a scanning device directly into the computer. What is the name of this scanning device?",Laser scanner,Wand,OCR,MICR,A,-,
2,A processing unit that coordinates networks and data communication is known as,Control unit,Communications processor,Register unit,CPU,B,-,
3,A type of line printer that uses an embossed steel band to form the letters printed on the paper is,Golf ball printer,Dot-matrix printer,Laser printer,Band printer,D,-,
3,Which memory system is not as a mass memory medium?,semiconductor memory,magnetic tape,magnetic disk,magnetic drum,A,-,
3,Different components on the motherboard of a PC processor unit are linked together by sets of parallel electrical conducting lines. What are these lines called?,Conductors,Buses,Connectors,Connectively,B,-,
1,"The terminal device that functions as a cash register, computer terminal, and OCR reader is the:",Data collection terminal,OCR register terminal,Video display terminal,POS terminal,D,-,
1,The general range of speed in revolutions per minute (rpm) at which floppy disks rotate is,2400-4700,390-600,150-250,300-600,C,-,
2,Which of the following typically uses a keyboard for input?,desktop terminal,point-of-sale terminal,financial transaction terminal,All of the above,D,-,
3,The first microprocessor built by the Intel Corpn. was called,8008,8080,4004,8800,C,-,
1,The microelectronics is the technology of,microwaves,microcomputers,chips,automatic processing,C,-,
2,Who developed the first personal computer spreadsheet package called Visicalc?,Niklaus Wirth,Dan Bricklin,Bob Frankston,both (b) and (c),D,-,
2,When was the X Window System born?,1984,1989,1988,1990,A,-,
2,A double sided magnetic disk pack has six disks. Can you tell how many surfaces of this pack are normally used?,10,12,6,9,A,-,
1,"The Santa Clara Valley, California is popularly known as Silicon Valley of America because",huge deposits of silicon are found there,many silicon chip manufacturing firms are located there,Santa   Claus    visits    it   every Christmas,it is full of large grain sand,B,-,
2,Which of the following professions has not been affected by personal computers?,medical,clerical,accounting,None of the above,D,-,
2,What is the name given to the 8-bit unit used for coding data?,block of characters,byte,word,K,B,-,
1,What technology is used for flat panel displays?,Solid state,RBG monitor,VLSI,Direct view storage tube,A,-,
2,What is meant by the term RAM?,Memory which can only be read,Memory which can be both^read and written to,Memory    which    is   used   for permanent storage,Memory   which   can   only   be written to,B,-,
2,Magnetic tape can serve as :,secondary-storage media,output media,input media,All of the above,D,-,
2,Conversion of hexadecimal number 1D7F16 to a decimal number is,755110,877110,555710,778110,A,-,
2,Microfilm reader is a,OCR device,COM device,MICR device,None of the above,B,-,
3,"In magnetic disks, data is organized on the platter in a concentric sets of rings called",sector,track,head,block,B,-,
3,The data recording area between the blank gaps on magnetic tape is called a/ an:,Record,Block,Field,Database,B,-,
1,Personal computers use a number of chips mounted on a main circuit board. What is the common name for such boards?,Daughterboard,Motherboard,Fatherboard,Breadboard,B,-,
3,Which term is not used to describe the memory component of a computer?,ROM,PROM,RAM,SAM,D,-,
3,Who coordinates the sequencing of events within the central processor of a computer?,Logic unit,Arithmetic unit,Register,Control unit,D,-,
1,What type of computer programming is used for airplane ticket reservation system?,Multi programming,Real time programming,Time sharing,Batch programming,B,-,
1,The output of a 2 input OR gate is 0 only when its,both inputs are 0,either input is 1,both inputs are 1,either input is 0,A,-,
3,A high quality CAD system uses the following for printing drawing and graphs,Dot matrix printer,Digital plotter,Line printer,All of the above,B,-,
1,A printed document reader which scans the characters and then encodes them in a computer-compatible code for direct transmission to the computer is called,Optical character reader,Kurzweil Data Entry  Machine (KDEM),MICR,Laser scanner,B,-,
2,The  equipment   with   which   the computer talks to its users is called a,word processor,peripheral,software,diskette,B,-,
1,"In which addressing mode, the effective address of the operand is generated by adding a constant value to the contents of a register?",Absolute mode,Indirect mode,Immediate mode,Index mode,D,-,
3,The term gigabyte refers to,1024 bytes,1024 kilobytes,1024 megabytes,1024 gigabytes,C,-,
1,The CPU chip used in a computer is partially made out of,silica,carbon,copper,gold,A,-,
3,Which of the following best describes a computer-based information system?,A system in which a computer is used to turn data into information,Inputting data,Processing data,Performing complex mathematical calculations,A,-,
3,Accessing records from a file directly without searching from the beginning of the file is,Time sharing,Random,Direct access,Access time,C,-,
3,EBCDIC can code up to how many different characters?,8,16,32,256,D,-,
1,When did IBM close the last of its punched card manufacturing plant?,"June, 1989","December, 1984","March, 1982","November, 1979",B,-,
3,The monitor of a computer is connected to it by a,Wire,Cable,Bus,Line driver,B,-,
2,"In a punched card system, data is processed by a","keypunch machine, sorter, and posting machine","accounting    machine,    posting machine, and billing machine","sorter,   posting   machine,   and billing machine","accounting machine, keypunch machine, and sorter",D,-,
1,A single bus structure is primarily found in,Main frames,Super computers,High performance machines,Mini-and micro-computers,D,-,
2,What is the highest address possible if 16 bits are used for each address?,65536,12868,16556,643897,A,-,
1,An integrated circuit is,a complicated circuit,an integrating device,much   costlier   than   a   single transistor,fabricated on a tiny silicon chip,D,-,
1,Which of the following memories contains a thin film of magnetic material sandwitched between two permanent bias magnets?,ROM,Magnetic disk,Core memory,Bubble memory,C,-,
1,A 'number crunching' computer is one that can handle,large spreadsheets,large alphanumeric data,large volume of numbers,only numbers,C,-,
3,"The barcode which is used on all types of items, is read by a scanning device directly into the computer. What is the name of this scanning device?",Laser scanner,Wand,OCR,MICR,A,-,
3,A processing unit that coordinates networks and data communication is known as,Control unit,Communications processor,Register unit,CPU,B,-,
2,A type of line printer that uses an embossed steel band to form the letters printed on the paper is,Golf ball printer,Dot-matrix printer,Laser printer,Band printer,D,-,
3,Which memory system is not as a mass memory medium?,semiconductor memory,magnetic tape,magnetic disk,magnetic drum,A,-,
3,Which of the following bus types are used by the Apple Macintosh computer?,ISA,NuBus,EISA,MCA,B,-,
2,"When the time to establish link is large and the size of data is small, the preferred mode of data transfer is",Circuit switching,Packet switching,Time division multiplexing,All of the above,B,-,
1,Group of instructions that directs a computer is called,Storage,Memory,Logic,Program,D,-,
3,A computer-controlled device for training exercises that duplicates the work environment is a:,simulator,duplicator,trainer,COM device,A,-,
1,Which of the following is not an output device of a computer?,Printer,keyboard,VDU,CRT screen,B,-,
3,"Which of the following terms could be used to describe the concurrent processing of computer programs, via CRTs, on one computer system?",Time-sharing,Online processing,Interactive processing,All the above processing,D,-,
1,"What is the name given to the specialized storage element in the processor unit of a computer which is used as a ""scratch pad"" during processing operations?",storage register,primary memory,cache memory,accumulator,C,-,
2,A large number of computers in a wide geographical area can be efficiently connected using,Twisted pair lines,Coaxial cables,Communications satellites,All of the above,C,-,
2,Which of the following statements is true?,Analysts usually work alone and sometimes as part of a team,Most    systems    projects    are completed in 6 to 12 weeks,An analyst's primary concern is the development of software,Analysts   evaluate   data   flow through an organization,D,-,
2,Which of the following is not an advantage of magnetic disk storage?,The access time of magnetic disk is much less than that of magnetic tape,Disk storage is longer lasting than magnetic tape,Disk storage is less expensive than tape storage,None of the above,D,-,
1,An advantage of blocking a tape is that,additional   processing   time   is consumed,the direct file method can be emulated,tapes   contain   less   data   and longer tapes,less tape is used to store the same amount of data,D,-,
1,Perforated paper used as input or output media is known as,Paper tape,Magnetic tape,Punched paper tape,Card punch,A,-,
2,"What is the byte capacity of a drum which is 5 inch high, 10 inch diameter, and which has 60 tracks per inch and bit density of 800 bits per inch?",942000 bytes,9712478 bytes,192300 bytes,14384 bytes,A,-,
3,Ethernet uses,Bus topology,Ring topology,Star topology,Tree topology,A,-,
3,What is the latest write-once optical storage media?,Digital paper,Magneto-optical disk,WORM disk,CD-ROM disk,A,-,
3,The data processing job expected to further decrease in the 1996s is that of:,Keypuncher,Data entry clerk,Computer operator,Programmer,A,-,
1,A computer has no more sense than a light,bulb,pen,switch,pad,C,-,
1,The first large scale electronic computer which became operational in 1946 and contained approximately 18000 vacuum tubes and could perform 300 multiplications per second was known as,ILLIAC,ENIAC,JOHNIAC,EDSAC,B,-,
2,A computer program that converts an entire program into machine language at one time is called a/an,interpreter,simulator,compiler,commander,C,-,
1,A logic gate is an electronic circuit which,makes logic decisions,allows electron flow only in one direction,works on binary algebra,alternates between 0 and 1 values,A,-,
3,Identity the advantages that Micro Channel Architecture offers over ISA.,Automatic System Configuration,Less Interference,Multiple device handling (the system allows expansion boards to take complete of the bus for certain operations),All of the above,D,-,
1,Computer scientists are exploring the possibility of culturing bacteria to create living chips which have digital electronic properties. What are these chips called?,bacterial chips,biochips,natural chips,neural chips,B,-,
1,What is the name of the storage device which is used to compensate for the difference in rates of flow of data from once device to another?,Cache,Concentrator,Buffer,I/O device,C,-,
3,"In latest generation computers, the instructions are executed",Parallely only,Sequentially only,Both sequentially an parallely,All of the above,C,-,
2,Program execution time would be minimum if the programs are written in,Machine Language,Assembly language,High level language,All of the above,A,-,
3,A small square or rectangular piece of silica on which several layers of an integrated circuit are etched or imprinted is called,VLSI,micro,wafer,chip,D,-,
2,The processing capability of a microcomputer can be enhanced with the help of,addition processor,expansion cards,secondary memory,buffer memory,B,-,
3,Where are silicon chips manufactured in India?,Chandigarh,Punjab,UP.,Tamil Nadu,A,-,
1,A computer programmer,does   all   the   thinking   for   a computer,can enter input data quickly,can operate all types of computer equipment,can draw only flowchart,A,-,
2,"""The three most important inventions of this century are the nuclear bomb, the high yield hybrid speed, and the computer"". Can you name the person who made this statement?",Harry R Jordan,Buckminster Fuller,Jack Smith,Jan Timmer,B,-,
2,A menu-driven operating system is one which allows you to pick up from the menu of choices it displays on the screen. What is the name given to the images which are used in such image oriented menus?,Icon,Figure,Symbol,option,A,-,
2,What is the name of the earliest calculating machine which was based on concepts found in modern computers but was unfortunately never built?,Babbage's Difference Engine,Pascal's Adder,Leibnitz's Multiplier,Differential Analyser,A,-,
1,The first machine to successfully perform a long series of arithmetic and logical operations was:,ENIAC,Mark I,Analytic engine,UNIVAC-I,B,-,
1,Which is used for manufacturing chips?,Bus,Control unit,Semiconductors,(a) and (b) only,C,-,
3,The 0 and 1 in the binary numbering system are called binary digits or _____,bytes,kilobytes,decimal bytes,bits,D,-,
2,Floppy disks which are made from flexible plastic material are also called?,hard disks,high-density disks,diskettes,templates,C,-,
2,Which of the following tasks is not suited for sequential processing by a computer?,Preparing of mailing labels,Processing payroll cheques,Accounting    for    credit    card purchases,Inventory control,D,-,
1,Which of the following is responsible for coordinating various operations using timing signals?,Arithmetic-logic Unit,Control unit,Memory unit,Input/Output unit,B,-,
3,All calculations are performed and all comparisons are made in  _____ unit.,control unit,aritmetic-logic unit,central processing unit,primary storage unit,B,-,
3,"The most commonly used standard data code to represent alphabetical, numerical and punctuation characters used in Electronic Data Processing system is called",ASCII,EBCDII,BCD,All of the above,A,-,
3,The terminal device often used in checking charge cards that offers both a limited keyboard input and visual output is the:,Intelligent terminal,POS terminal,Video display terminal,Audio response unit,C,-,
3,The computer translates the condition of each switch to a number. What number is represented by the OFF state?,-7,-3.75,1,0,D,-,
1,"Who built the world's first electronic calculator using telephone relays, light bulbs and batteries?",Claude Shannon,Konard Zuse,George Stibits,Howard H. Aliken,C,-,
3,Hard disks and diskettes are:,Direct access storage devices,Sequential access storage devices,Rarely used with microcomputers,Both (a) and (c),A,-,
3,In digital data transmission,Baud rate in equal to bit rate,Baud rate is always smaller than the bit rate,Baud rate is always higher than the bit rate,None of the above,D,-,
3,Which of the following is not one of the three primary functions that on-line direct-access systems can serve?,inquiry,backup,update,programming,B,-,
1,How many bits can be stored in the 8K RAM?,8000,8192,4000,4096,B,-,
3,A code which uses more bits for each character then what is necessary is known as,Hollerith code,Gray code,Redundant code,Mnemonics,C,-,
3,Point out the odd item amongst the following,Computer mouse,Touchpad,Light pen,Printer,D,-,
2,Access time in a computer memory is the time required to,Locate the stored data,Retrieve the stored data,Both locate and retrieve the data,All of the above,C,-,
3,"Which of the following terms could be used to describe the concurrent processing of computer programs, via CRTs, on one computer system?",Time-sharing,Online processing,Interactive processing,All the above processing,D,-,
3,"What is the name given to the specialized storage element in the processor unit of a computer which is used as a ""scratch pad"" during processing operations?",storage register,primary memory,cache memory,accumulator,C,-,
3,A large number of computers in a wide geographical area can be efficiently connected using,Twisted pair lines,Coaxial cables,Communications satellites,All of the above,C,-,
3,Which of the following statements is true?,Analysts usually work alone and sometimes as part of a team,Most    systems    projects    are completed in 6 to 12 weeks,An analyst's primary concern is the development of software,Analysts   evaluate   data   flow through an organization,D,-,
1,Which of the following is not an advantage of magnetic disk storage?,The access time of magnetic disk is much less than that of magnetic tape,Disk storage is longer lasting than magnetic tape,Disk storage is less expensive than tape storage,None of the above,D,-,
1,"In negative logic, the logic state 1 corresponds to",negative voltage,zero voltage,more negative voltage,lower voltage level,D,-,
2,Which of the following is a part of the Central Processing Unit?,Printer,Keyboard,) Mouse,Arithmetic Logic Unit,D,-,
1,The least expensive OCR units can read,hand printed numbers,machine printed numbers,marks,handwriting,C,-,
3,The input unit of a computer,feeds data to the CPU or memory,retrieves data from CPU,directs all other units,All of the above,A,-,
1,File specification books are created primarily for the use of,systems analysts,programmers,operators,managers,B,-,
3,Which of the following is used as storage locations both in the ALU and the control section of a computer?,accumulator,register,adder,decoder,B,-,
2,The attribution of human form or qualities to things such as machines or computers is called,cybernetics,cybernation,artificial intelligence,anthropomorphism,D,-,
1,The technique designed to support the effective access of micro-filmed data is:,Microfiche retrieval,COM,Micrographics,All the above,C,-,
2,Which of the following persons probably has the least amount of technical knowledge?,User,Computer Operator,System Analyst,Programmer,A,-,
2,What is the name of the computer terminal which gives paper printout?,Display screen,Soft copy terminal,Hard copy terminal,Plotter,C,-,
3,The primary advantage of key-to-tape data-entry systems is:,A large percentage of editing can be performed at the time of data entry,Key verification is easily performed,The tape is reusable,Keying errors can be detected as they occur,C,-,
2,An advantage of overlapped processing activities is:,more effective use of the CPU,increased processing activities for the entire system,better    coordination    of    I/O activities,all the above,D,-,
2,Primary storage is _____as compared to secondary storage.,Slow and inexpensive,Fast and inexpensive,Fast and expensive,Slow and expensive,C,-,
3,"If the processor of a computer does not have a direct and unassisted access to data items, these items are said to be",offline,remote,disconnected,detached,A,-,
2,A microprocessor integrates the arithmetic logic and control circuitry of a computer into one chip. The first microprocessor was built by a group of engineers at the Intel Corpn. Can you tell who headed this group?,Victor Poor,Stan Mazor,Marcian E. (Ted) Hoff,Seymour Cray,C,-,
1,"In the IBM PC-AT, what do the words AT stand for?",Additional terminals,Advance technology,Applied technology,Advanced terminology,B,-,
1,The punched card used in the IBM System/3 contains,80 columns,120 columns,96 columns,126 columns,C,-,
2,Which of the following is associated with networks?,"Download, node",Star topology,Point-to-Point,Both (a) and (b),D,-,
2,Which was the first computer to use transistors instead of vacuum tubes?,Intel-650,Burroughs E-101,Datamatic-1000,IBM-1401,D,-,
2,A CPU's processing power is measured in:,IPS,CIPS,MIPS,nano-seconds,C,-,
2,The binary equivalent of the Hexadecimal number 7BD is,11110111101,111010111101,101110111101,All of the above,A,-,
3,Which of the following is non-impact printer?,Drum printer,Line printer,Chain printer,Laser printer,D,-,
3,In which year was the PC voted 'The Machine of the Year's by the American Time magazine?,1970,1975,1983,1987,C,-,
2,"When used with I/O devices, the term intelligent implies",a color output capability,speech processing capability,high speed printing capability,feature to  support offline and online tasks,D,-,
1,A prefix for billion which is equal to _____ is called as billi.,100,10000,1000,10,D,-,
1,The operation of a digital computer is based on _____ principle.,counting,measuring,electronic,logical,A,-,
1,Which of the following Indian companies designs and manufactures super- computers?,C-DOT,C-DAC,CMC,All of the above,B,-,
2,Which of the following memories needs refresh?,SRAM,DRAM,ROM,All of the above,B,-,
2,Which of the following is not a sequence storage device?,Magnetic disk,Magnetic tape,Paper tape,All of the above,A,-,
1,The computers that we use are digital whereas we live in an analog world which means that we have to translate analog data into digital data. What is the name of the circuit which helps us in this conversion?,D/A converter,A/D converter,Voice recognition,Adapter,B,-,
2,Which of the following statements best describes the batch method of input?,Data is processed as soon as it is input,Data is input at the time it is collected,"Data is collected in the form of source documents, placed into groups, and then input to the computer",Source documents aren't used,C,-,
1,What is the name of the memory card which is conceptually related to the smart card but is similar to the video disk?,Laser card,Master card,Visa,Optical card,A,-,
3,"In 1830, Charles Babbage disigned a machine called the Analytical Engine which he showed at the Paris Exhibition. In which year was it exhibited?",1820,1860,1855,1870,C,-,
3,Which of the following is used to check for errors in RAM chips?,ROM chip,Microprocessor chip,Parity chip,EPROM chip,C,-,
2,Which of the following is not an alternative name for primary memory?,Main memory,Primary storage,Internal storage,Mass storage,D,-,
1,The first movie with terrific computer animation and graphics was released in 1982. What was its name?,Star Wars,Tron,Forbidden Planet,Dark Star,B,-,
1,Which of the following isn't used in the storage phase of a computer-based information system?,Magnetic,Keyboard,Diskette,Hard disk,B,-,
3,"While buying a PC system, you should first",shop for application programs,identify        your        hardware components,define your computing needs,call for tenders,C,-,
3,An AND gate,implements logic addition,is     equivalent     to     a     series switching circuit,is an any-or all gate,is    equivalent    to    a    parallel switching circuit,B,-,
1,Which of the following is true?,Fields are composed of bytes,Files are composed of records,Fields are composed of characters,All of the above,D,-,
2,CD-ROM is a,Semiconductor memory,Memory register,Magnetic memory,None of the above,D,-,
1,A modern digital computer has,extremely high speed,large memory,almost unlimited accuracy,All of the above,D,-,
1,The disk concept for reducing time lost from rotational delay is:,fixed block addressing,"cylinder, track, sector data",staggered addressing,graduated block identification,C,-,
2,What is meant by computer literacy?,Knowing what a computer can and cannot do,Ability     to     write    computer programs,Knowing     computer     related vocabulary,Ability to assemble computers,A,-,
2,Data System management has long-term viability as a separate business function because,It    requires    much    technical knowledge,It requires large investments,Specialists in data systems cannot be integrated into a marketing or manufacturing organization,An integrated database accessible to all requires independent management,D,-,
2,Pick out the wrong statement.,Information stored in RAM can be changed by over writing it,Information stored in ROM cannot be changed by overwriting,Information can be stored in any location of RAM,Computer main memory can be accessed only sequentially,D,-,
1,Everything computer does is controlled by its,RAM,ROM,CPU,Storage devices,C,-,
3,Which of the following is a non-impact printer?,Daisy wheel printer,Drum printer,Laser printer,All of the above,C,-,
1,"In virtual storage, program segments stored on disk during processing are called:",tracks,blocks,pages,sectors,C,-,
3,Which of the following is used as storage locations both in the ALU and the control section of a computer?,accumulator,register,adder,decoder,B,-,
1,The attribution of human form or qualities to things such as machines or computers is called,cybernetics,cybernation,artificial intelligence,anthropomorphism,D,-,
2,The technique designed to support the effective access of micro-filmed data is:,Microfiche retrieval,COM,Micrographics,All the above,C,-,
3,Which of the following persons probably has the least amount of technical knowledge?,User,Computer Operator,System Analyst,Programmer,A,-,
1,What is the name of the computer terminal which gives paper printout?,Display screen,Soft copy terminal,Hard copy terminal,Plotter,C,-,
2,Which of the following is usually a special one-time operation that must be completed over a limited time period?,Batch,Patch,Project,Word,C,-,
1,A device or system not directly connected to the CPU is,On-line,Keyboard,Memory,Off-line,D,-,
1,The microprocessor of a computer cannot operate on any information if that information is not in its.,secondary storage,main storage,ALU,logic unit,B,-,
1,A device which converts human readable data into machine language is,Card reader,Card punch,Punched paper tape,Character reader,D,-,
2,What digits are representative of all binary numbers?,0,1,Both (a) and (b),3,C,-,
2,What is the name of the chip which has more than once processor on it?,Parallel chip,Multi-processor chip,Transputer,Parallel processor,C,-,
3,Which of the following is a set of general purpose internal registers?,stack,scratch pad,accumulator,status register,B,-,
2,A family of polynomial block codes designed to correct burst errors is known as,Bar codes,Gray codes,Fire codes,mnemonics codes,C,-,
1,"To produce high-quality graphics (hardcopy) in color, you would want to use a(n)",RGB monitor,plotter,ink-jet printer,laser printer,B,-,
2,The computer code for the interchange of information between terminals is,ASCII,BCD,EBCDIC,All of the above,A,-,
1,Which of the following is required when more than one person uses a central computer at the same time?,terminal,light pen,digitizer,mouse,A,-,
3,Which is not necessary when using bar codes in supermarkets?,Point-of sale (POS) terminal,Check digit on the bar code,Price on the shelf,Price on the goods,C,-,
1,The language that the computer can understand and execute is called,Machine language,Application software,System program,All of the above,A,-,
2,Design qualifications do not normally include,Output requirements,Input and storage requirements,Control provisions,Blueprints,D,-,
2,Which of the following is form of semi conductor memory in which it is possible to change the contents of selected memory locations by applying suitable electrical signals.,CAM,ROM,EAROM,ANACUS,C,-,
2,The basic components of a modern digital computer are :,Input device,Output device,Central processor,All of the above,D,-,
3,What does that acronym EGA stand for?,Enhanced Graphics Array,Extended Graphics Array,Monochrome Graphics Adapter,Enhanced Graphics Adapter,A,-,
